Main Folder,File Name Key Word,File Name
Split 1,_01_P01,
Split 1,_01_P02,
Split 1,_01_P03,
Split 1,_01_P04,
Split 1,_01_P05,
Split 1,_01_P06,
Split 1,_01_P07,
Split 1,_01_P08,
Split 1,_01_P09,
Split 1,_01_P10,
Split 1,_01_P11,
Split 1,_01_P12,
Split 1,_01_P13,
Split 1,_01_P14,
Split 1,_01_P15,
Split 1,_01_P16,
Split 1,_01_P17,
Split 1,_01_P18,
Split 1,_01_P19,
Split 1,_01_P20,
Split 2,_02_P01,
Split 2,_02_P02,
Split 2,_02_P03,
Split 2,_02_P04,
Split 2,_02_P05,
Split 2,_02_P06,
Split 2,_02_P07,
Split 2,_02_P08,
Split 2,_02_P09,
Split 2,_02_P10,
Split 2,_02_P11,
Split 2,_02_P12,
Split 2,_02_P13,
Split 2,_02_P14,
Split 2,_02_P15,
Split 2,_02_P16,
Split 2,_02_P17,
Split 2,_02_P18,
Split 2,_02_P19,
Split 2,_02_P20,
