Main Folder,File Name Key Word,File Name,Unnamed: 3,Unnamed: 4,Unnamed: 5,Operation,Old Directory
Split 1,_01_P01,csv_split_test_01_P01.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P01.csv
Split 1,_01_P02,csv_split_test_01_P02.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P02.csv
Split 1,_01_P03,csv_split_test_01_P03.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P03.csv
Split 1,_01_P04,csv_split_test_01_P04.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P04.csv
Split 1,_01_P05,csv_split_test_01_P05.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P05.csv
Split 1,_01_P06,csv_split_test_01_P06.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P06.csv
Split 1,_01_P07,csv_split_test_01_P07.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P07.csv
Split 1,_01_P08,csv_split_test_01_P08.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P08.csv
Split 1,_01_P09,csv_split_test_01_P09.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P09.csv
Split 1,_01_P10,csv_split_test_01_P10.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P10.csv
Split 1,_01_P11,csv_split_test_01_P11.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P11.csv
Split 1,_01_P12,csv_split_test_01_P12.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P12.csv
Split 1,_01_P13,csv_split_test_01_P13.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P13.csv
Split 1,_01_P14,csv_split_test_01_P14.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P14.csv
Split 1,_01_P15,csv_split_test_01_P15.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_01_P15.csv
Split 1,_01_P16,,,,,Not Found,
Split 1,_01_P17,,,,,Not Found,
Split 1,_01_P18,,,,,Not Found,
Split 1,_01_P19,,,,,Not Found,
Split 1,_01_P20,,,,,Not Found,
Split 2,_02_P01,csv_split_test_02_P01.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_02_P01.csv
Split 2,_02_P02,csv_split_test_02_P02.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_02_P02.csv
Split 2,_02_P03,csv_split_test_02_P03.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_02_P03.csv
Split 2,_02_P04,csv_split_test_02_P04.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_02_P04.csv
Split 2,_02_P05,csv_split_test_02_P05.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_02_P05.csv
Split 2,_02_P06,csv_split_test_02_P06.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_02_P06.csv
Split 2,_02_P07,csv_split_test_02_P07.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_02_P07.csv
Split 2,_02_P08,csv_split_test_02_P08.csv,,,,Found,D:\Current Task\Github\file_sorter\files_to_sort\csv_split_test_02_P08.csv
Split 2,_02_P09,,,,,Not Found,
Split 2,_02_P10,,,,,Not Found,
Split 2,_02_P11,,,,,Not Found,
Split 2,_02_P12,,,,,Not Found,
Split 2,_02_P13,,,,,Not Found,
Split 2,_02_P14,,,,,Not Found,
Split 2,_02_P15,,,,,Not Found,
Split 2,_02_P16,,,,,Not Found,
Split 2,_02_P17,,,,,Not Found,
Split 2,_02_P18,,,,,Not Found,
Split 2,_02_P19,,,,,Not Found,
Split 2,_02_P20,,,,,Not Found,
